,año,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,ncodi,tipo_id
47935,2011,0.0,0.0,0.0,0.0,0.0,683,3
47936,2011,0.0,0.0,0.0,0.0,0.0,945,3
47937,2011,408510.0,401210.0,401210.0,0.0,127022.0,953,3
47938,2011,0.0,0.0,0.0,0.0,0.0,1022,3
47939,2011,0.0,0.0,0.0,0.0,0.0,1049,3
47940,2011,0.0,0.0,0.0,0.0,0.0,794,3
47941,2011,0.0,0.0,0.0,0.0,0.0,415,3
47942,2011,0.0,0.0,0.0,0.0,0.0,592,3
47943,2011,48425.0,65332.0,56369.0,8963.0,9896.0,497,3
47944,2011,0.0,0.0,0.0,0.0,0.0,726,3
47945,2011,0.0,0.0,0.0,0.0,0.0,272,3
47946,2011,0.0,0.0,0.0,0.0,0.0,805,3
47947,2011,0.0,0.0,0.0,0.0,0.0,5,3
47948,2011,,0.0,,,,234,3
47949,2011,0.0,0.0,0.0,0.0,0.0,64,3
47950,2011,1490.0,4494.0,1490.0,3004.0,3359.0,842,3
47951,2011,,0.0,,,1998.0,843,3
47952,2011,,0.0,,,,1025,3
47953,2011,0.0,0.0,0.0,0.0,0.0,803,3
47954,2011,0.0,0.0,0.0,0.0,0.0,211,3
47955,2011,0.0,0.0,0.0,0.0,0.0,773,3
47956,2011,196141.0,585707.0,585707.0,0.0,0.0,424,3
47957,2011,20130.0,126168.0,126168.0,0.0,1017.0,298,3
47958,2011,0.0,0.0,0.0,0.0,0.0,594,3
47959,2011,0.0,0.0,0.0,0.0,0.0,237,3
47960,2011,0.0,0.0,0.0,0.0,0.0,16,3
47961,2011,3777.0,8635.0,3992.0,4643.0,0.0,768,3
47962,2011,16035.0,0.0,0.0,0.0,0.0,617,3
47963,2011,0.0,0.0,0.0,0.0,0.0,297,3
47964,2011,0.0,0.0,0.0,0.0,0.0,105,3
47965,2011,0.0,0.0,0.0,0.0,0.0,544,3
47966,2011,23758.0,1618.0,1618.0,0.0,169.0,804,3
47967,2011,0.0,0.0,0.0,0.0,0.0,470,3
47968,2011,0.0,0.0,0.0,0.0,0.0,104,3
47969,2011,0.0,0.0,0.0,0.0,0.0,20,3
47970,2011,0.0,0.0,0.0,0.0,0.0,550,3
47971,2011,0.0,0.0,0.0,0.0,0.0,112,3
47972,2011,0.0,0.0,0.0,0.0,0.0,818,3
47973,2011,0.0,0.0,0.0,0.0,0.0,914,3
47974,2011,0.0,0.0,0.0,0.0,0.0,928,3
47975,2011,0.0,0.0,0.0,0.0,0.0,964,3
47976,2011,0.0,0.0,0.0,0.0,0.0,1026,3
47977,2011,0.0,0.0,0.0,0.0,0.0,1068,3
47978,2011,0.0,0.0,0.0,0.0,0.0,738,3
47979,2011,1110.0,0.0,0.0,0.0,0.0,404,3
47980,2011,509297.0,2645554.0,2631357.0,14197.0,216795.0,274,3
47981,2011,132761.0,1411628.0,1352190.0,59438.0,32334.0,270,3
47982,2011,,0.0,,,,676,3
47983,2011,0.0,0.0,0.0,0.0,0.0,709,3
47984,2011,0.0,0.0,0.0,0.0,0.0,754,3
47985,2011,,0.0,,,,997,3
47986,2011,0.0,1450.0,1450.0,0.0,0.0,734,3
47987,2011,11240.0,106809.0,106809.0,,,299,3
47988,2011,0.0,0.0,0.0,0.0,0.0,645,3
47989,2011,0.0,0.0,0.0,0.0,0.0,17,3
47990,2011,0.0,0.0,0.0,0.0,0.0,1046,3
47991,2011,0.0,0.0,0.0,0.0,0.0,420,3
47992,2011,0.0,0.0,0.0,0.0,0.0,802,3
47993,2011,0.0,0.0,0.0,0.0,0.0,266,3
47994,2011,305194.0,888746.0,888746.0,0.0,38919.0,580,3
47995,2011,0.0,0.0,0.0,0.0,0.0,137,3
47996,2011,0.0,0.0,0.0,0.0,0.0,769,3
47997,2011,0.0,0.0,0.0,0.0,0.0,776,3
47998,2011,0.0,0.0,0.0,0.0,0.0,640,3
47999,2011,0.0,0.0,0.0,0.0,0.0,315,3
48000,2011,0.0,0.0,0.0,0.0,0.0,40,3
48001,2011,0.0,0.0,0.0,0.0,0.0,508,3
48002,2011,0.0,0.0,0.0,0.0,0.0,46,3
48003,2011,0.0,0.0,0.0,0.0,0.0,590,3
48004,2011,0.0,0.0,0.0,0.0,0.0,777,3
48005,2011,0.0,0.0,0.0,0.0,0.0,897,3
48006,2011,0.0,0.0,0.0,0.0,0.0,965,3
48007,2011,0.0,0.0,0.0,0.0,0.0,671,3
48008,2011,4095.0,78205.0,55130.0,23075.0,9950.0,461,3
48009,2011,,0.0,,,,376,3
48010,2011,,0.0,,,,621,3
48011,2011,,0.0,,,,793,3
48012,2011,0.0,0.0,0.0,0.0,0.0,324,3
48013,2011,0.0,0.0,0.0,0.0,0.0,712,3
48014,2011,,0.0,,,,32,3
48015,2011,0.0,0.0,0.0,0.0,0.0,361,3
48016,2011,63956.0,899565.0,899565.0,0.0,212029.0,486,3
48017,2011,0.0,0.0,0.0,0.0,0.0,595,3
48018,2011,0.0,0.0,0.0,0.0,0.0,433,3
48019,2011,0.0,0.0,0.0,0.0,0.0,1058,3
